,SName,Lyric,Artist,Genres,Popularity,Top Genre
68011,Lightning Turns Sawdust Gold,"If you count to ten
I'll show you how to shake the pain like it's cinnamon
Draw a line in the sand
Watch me put a batter in it like silver and lightning

I was dreaming of a dead-end street that we used to run down
I was dreaming of a dead-end street that we used to run down
I was dreaming of a dead-end street that we used to run down

We are running around 'till our hearts break down
There's no need for that now
We're all running around 'till our hearts break down

Take a deep breath before you do something drastic
Knocking off heads with your military tactics
Red blood versus plastic
You reach the ground and shatter

I was dreaming of a dead-end street that we used to run down
I was dreaming of a dead-end street that we used to run down
I was dreaming of a dead-end street that we used to run down

We are running around 'till our hearts break down
There's no need for that now
We're all running around 'till our hearts break down
There's no need for that now

Like silver and lightning
Like silver and lightning
Like silver and lightning
Like silver right into the ground",Sleigh Bells,Indie,0.0,3
35366,My Medication,"I push you away
Until you beg me to stay
Just fot the thrill of the chase
You got me
Fucked in the head
From all the things that we did
But I will never forget
I need you
My medication!

Have you ever had enough of it?
Straight over it?
Sick of it?
Cant get a hold of it?
Like a drug I need another fix
Im a moth to a flame
And Im burning for the hell of it
Gotta stop, cause I lost the fight
Everytime I take a breath
Its like Im loosing my life
Fuck it!

Why am I so dysfunctional?
So irrational?
I don't know what to do

So I push you away
Until you beg me to stay
Just fot the thrill of the chase
You got me intoxicated
Fucked in the head
From all the things that we did
But I will never forget
I need you
My medication!

Oh! Are you living with the enemy?
Are you affected by the devil's
That are trying to be a friend of me?
Im in a place that I don't wanna be
But if I find a way to turn it all around
Would you follow me?
Im alive but I lost the fight
Its like the better half of me
Its on the edge of the knife
Cut It!

Why am I so emotional?
Uncontrollable?
I don't know what to do

So I push you away
Until you beg me to stay
Just fot the thrill of the chase
You got me intoxicated
Fucked in the head
From all the things that we did
But I will never forget
I need you
My medication!

I push you away
Until you beg me to stay
Just fot the thrill of the chase
You got me
Fucked in the head
From all the things that we did
But I will never forget
I need you
My medication!

My medication!",Papa Roach,Rock; Hardcore; Hard Rock,1.0,5
44795,Final Gates,"Shortcut to part of Running Wild Lyrics
Running Wild - Adrian (S.O.S.) Lyrics
Running Wild - Adventure Galley Lyrics
Running Wild - Agents Of Black Lyrics
Running Wild - Bad To The Bone Lyrics
Running Wild - Ballad Of William Kidd Lyrics
Running Wild - Beggar's Night Lyrics
Running Wild - Billy The Kid Lyrics
Running Wild - Black Demon Lyrics
Running Wild - Black Hand Inn Lyrics
Running Wild - Black Soul Lyrics
Running Wild - Black Wings Of Death Lyrics
Running Wild - Blazon Stone Lyrics
Running Wild - Bloody Red Rose Lyrics
Running Wild - Blown to Kingdom Come Lyrics
Running Wild - Branded & Exiled Lyrics
Running Wild - Calico Jack Lyrics
Running Wild - Chains & Leather Lyrics
Running Wild - Chamber Of Lies Lyrics
Running Wild - Conquistadores Lyrics
Running Wild - Crossfire Lyrics
Running Wild - Dancing On A Minefield Lyrics
Running Wild - Death Or Glory Lyrics
Running Wild - Demonized Lyrics
Running Wild - Detonator Lyrics
Running Wild - Diabolic Force Lyrics
Running Wild - Diamonds Of The Black Chest Lyrics
Running Wild - Dragonmen Lyrics
Running Wild - Dr. Horror Lyrics
Running Wild - Evil Spirit Lyrics
Running Wild - Evilution Lyrics
Running Wild - Faceless Lyrics
Running Wild - Fall Of Dorkas Lyrics
Running Wild - Fight The Fire Of Hate Lyrics
Running Wild - Fight The Oppression Lyrics
Running Wild - Final Gates Lyrics
Running Wild - Fire And Thunder Lyrics
Running Wild - Fire & Ice Lyrics
Running Wild - Firebreather Lyrics
Running Wild - Fistful Of Dynamite Lyrics
Running Wild - Freewind Rider Lyrics
Running Wild - Genesis (The Making And The Fall Of Man) Lyrics
Running Wild - Genghis Khan Lyrics
Running Wild - Genocide Lyrics
Running Wild - Gods Of Iron Lyrics
Running Wild - Hanged, Drawn, And Quartered Lyrics
Running Wild - Heads Or Tails Lyrics
Running Wild - Highland Glory Lyrics
Running Wild - Into the Arena Lyrics
Running Wild - Into The Fire Lyrics
Running Wild - Intro Lyrics
Full Running Wild Lyrics...


",Running Wild,Heavy Metal; Hard Rock,0.0,1
90929,That Means A Lot,"A friend says that your love
won't mean a lot.
And you know that your love
is all you've got.
At times things are so fine
and at times they're not.
But when she says she loves you,
that means a lot.

A friend says that a love
is never true.
And you know that this
don't apply to you.
A touch can mean so much
when it's all you've got.
When she says she loves you
that means a lot.

Love can be deep inside,
love can be suicide.
Can't you see you can't hide
what you feel when it's real.

A friend says that your love
won't mean a lot.
And you know that your love
is all you've got.
A touch can mean so much
when it's all you've got.
When she says she loves you
that means a lot.

Can't you see, yeah.
Can't you see, yeah.
Can't you see, yeah.
Can't you see, yeah.
Can't you see, yeah.
Can't you see, ah.
Can't you see, yeah.
Can't you see, yeah.",The Beatles,Rock; Psicodelia; Pop/Rock,64.2,5
109214,Huff All Night,"Got to lock my door tonight
Gonna have a party alright
All my friends are coming over tonight
Gonna have a huffin' party tonight

Got to lock my door tonight
Gonna have a party alright
All my friends are coming over tonight
Gonna have a huffin' party tonight

Chorus:
Yeah, yeah, gonna huff all night
Yeah, yeah, gonna huff all night
Yeah, yeah, gonna huff all night
Yeah, yeah, gonna huff all night

Got to lock my door tonight
Gonna have a party alright
All my friends are coming over tonight
Gonna have a huffin' party tonight

Got to lock my door tonight
Gonna have a party alright
All my friends are coming over tonight
Gonna have a huffin' party tonight

Chorus

Hey!
I wanna huff all night! (huff huff huff)
Hey! (yeah yeah yeah)
I wanna huff all night! (huff huff huff)
Hey! (yeah yeah yeah)
I wanna huff all night! (huff huff huff)
Hey! (yeah yeah yeah)
I wanna huff all night! (huff huff huff)
Hey!
",The Donnas,Rock; Hard Rock; Punk Rock,0.0,5
94547,The Prayer IV,"[DMX]
Let us pray
Father God I am just learning how to pray, so bear with me
First I thank you for the life of everyone that's here with me
Then I thank you for the love you give me, why?
I don't know; I don't deserve it, and it hurts inside
Many a nights I cried, and called your name out loud
But didn't call you when I was doin good, I was too proud
And STILL you gave me love, I wasn't used to that
Most of the people that gave me love, they ended up takin it back
That's somethin new to me, so I'm askin you for time to adjust
Let me make it there, I will be one you can trust
What I stand for, I put my life on, I DO!
I guess what I'm askin is - show me how to stand for you
And I will RAP for you, SING for you, PREACH for you, TEACH for you
REACH for you - I will love you like you love me, unconditionally
And I will ALWAYS be prepared, for whatever the mission'll be
GIVE THE NUTRITION TO ME, and I'll properly digest it
And when I give it back, I'll show you word well invested
And whenever I go, BEFORE I GO, let me give
Thanks to you Lord, my birth, for every day that I've lived
You gave me a love most of my life I didn't know was there
IN THE NAME OF JESUS! I give you my life, cause you care
",DMX,Rap; Hip Hop,1.6,2
21518,What U Do,"Baby baby ba-by
Didn't believe in love at all
went through my days with a wall in place
baby baby ba-by
thought i'd be stronger on my own
but then you came along
and i'm changed

Yes i feel the butterflies
yes i go all weak inside
hate to admit it but i'm hit
and i don't want you to leave my side

used to laugh at romantic films
now i see you and me in them
say cheesy lines like
i'll be yours if you'll be mine

this must be love
look what u do to me (what u do)
oh what u do to me (what u do)
can't get enough
of what u do to me (what u do)
oh what u do to me (what u do)

put your hands up if you feel like this
if you`re crazy bout a guy and it's feel like this
put your hands up if you feel like this
if you`re crazy 'bout a girl and it's feel like this

baby baby ba-by
i've been sprayin your cologne on my clothes
have i gone insane
maybe maybe may-be
i was way to synical
thinkin i would never fall
now i?m cravin

roses used to make me queeze
but from you they smell so sweet
hate to admit it but i?m hit
and i kinda even like your feet

never had a boy get me so
your pictures under my pillow
God you offer silly names
my boo my babycakes

this must be love
look what u do to me (what u do)
oh what u do to me (what u do)
can't get enough
of what u do to me (what u do)
oh what u do to me (what u do to me)

put your hands up if you feel like this
if you`r crazy bout a guy and it?s feel like this (put your hands up)
put your hands up if you feel like this
if you`re crazy bout a girl and its feel like this (like this)

(i was ashamed) i was ashamed
embarrassed to feel
head over heels
thought love was just fantasy
(but now with you) but now with you
i don?t have to hide
you bring me to life
i never knew ohoh

if you`r crazy bout a guy and you feel like this hey
put your hands up if you feel like this
put your hands up if you feel like this
put your hands up (like this x 8)

this must be love
this must be love
this must be love
look what u do to me (what u do)
oh what u do to me (what u do)
can?t get enough
of what u do to me (what u do)
oh what u do to me (what u do)

put your hands up if you feel like this
(hands up if you feel like this)
if you`re crazy bout a guy and it's feel like this
(if you feel like this)
put your hands up if you feel like this
(hands up if you feel like this)
if your crazy bout a girl and it`s feel like this (put your hands up)

like this (x5)",Pixie Lott,Pop; Dance; Pop/Rock,0.0,4
13751,Life Rolls On,"People come, people go
Sometimes you win, sometimes you don't
Either way the wind blows
You gotta love it
Ain't gotta do it by yourself
Don't be afraid to ask for help
Even when it hurts like hell, gotta love it
Oh yeah

As long as my heart's beatin'
And these old lungs keep breathin'
The highs and the lows, yes and the no's
Only gonna make you strong
Yeah, bruh
This world will keep turnin'
The bonfires will keep burnin'
And I don't know what God's thinkin' of
But where we are is where we belong
Oh, and I know it might be alright
Might be all wrong
But life rolls on
And on and on and on

Drivin' past my old house
A wreckin' ball took it down
But I still got them memories, gotta love it
Yes, I do (Oh)

As long as my heart's beatin'
And these old lungs keep breathin'
The highs and the lows, yes and the no's
Only gonna make you strong
Yeah, bruh
This world will keep turnin'
The bonfires will keep burnin'
And I don't know what God's thinkin' of
But where we are is where we belong
Oh, and I know it might be alright
Might be all wrong
But life rolls on
And on and on and on (Yeah)

I won't give up on you
Please don't give up on me
Things gonna turn out just fine
Someday all the pain
Will be gone
Life rolls (Yeah, baby)

As long as my heart's beatin' (Beatin')
And these old lungs keep breathin' (Breathin')
The highs and the lows, yes and the no's
Only gonna make you strong
Oh, and I know it might be alright
Might be all wrong
But life rolls on
And on and on and on
Life rolls on
And on and on and on
(Life rolls on)",Florida Georgia Line,Country,1.0,0
55083,Neva Eva,"[Intro: Trillville (Lil Jon]
(What, ugh)
Get on my level ho (What!)
Get on my level ho (You can't!)
Get on my level ho (You can't!)
Get on my level ho (What!)
Get on my level ho (It's Trillville ho!)
Get on my level ho (Lil' Scrappy ho!)
Get on my level ho (It's BME ho!)
Get on my level ho (Let's gooo!)

['Get on my level ho' repeated in background throughout song]

[Hookx2: Trillville (Lil Jon]
bi*** nigga you can neva eva, eva eva
Eva eva, eva eva eva eva
Get on my level ho (What!)
Get on my level ho (What!)
Get on my level ho (What!)
Get on my level ho (What!)

[Dirty Mouth]
Get the f*** back, get the f*** back already
I ain't playin' nann day
Prove a nigga whatcha say
Meet me anywhere, I don't care it don't matter to me
Cause if ya f***in' step, I'ma step in yo vicinity
What, you think I'm a ho nigga please you ain't on my level
Get some rank bi*** while I'm diggin' ya grave with a shovel
Time after time I ask myself is it really clever
For you to get with me, bi*** nigga you can neva eva
Rank on my level, I'm pushin Chevrolet pedal
If you niggas f*** with me I got that chrome, heavy metal
Never settle for less but always strive for the best
Most these niggas playin chief'll put ya straight to the test

[Hook x2]

[Don Peezy]
My Benz, looka at my 'Ac
Look at my Navi' and my 'Lac
Get on my level, hell nah neva that
I knew you wasn't real cause all ya do is chit-chat
Always slizzle makin' sho' I stay gone
Call us some broad to the Geor-Georgia Dome
Tryin' to get with me is like naps through a comb
They call me Don P AKA Corlio
Up in the club with my Cartier's on
Don't know if I'm high, drunk, or gettin' my roll on
He on the cell 'Can ya hear me' hell nah
Get on my level, that's what I'm tryin' to tell y'all
For real

[Hook x2]

[LA]
LA off in this thang, get up on my level ho
bi*** nigga you can neva eva, eva eva hang
bi*** nigga step the f*** back and if ya think I'm jokin'
Aks them niggas that tried to play us, see em' lyin' off in that coffin
Trillville, ATL swangin' swangin' throwin' bows
Got some niggas that be hatin' bustin' slugs at my foes
If ya thinkin' you can f*** with a nigga like me
Nah nigga get rich, Trillville and BME
What the f*** you talkin' about 'What you deep' nigga what!
If a hater wanna hate then a hater gettin' bust
We ain't hard to find nigga so why ya steadily talkin' sh**
I'm fixin' to sick my dogs ho
p**** nigga, get big nigga ho

[Lil' Scrappy]
Get crunk out ya brains when I spit this verse
I'm a blood suckin' vampire, my venom is worse
Head bustas deal with dangerous thirsts
Shatter ya bones in ya chest and make ya m*****f***in' heart burst
Don't worry now, best of the South on the map
Knock yo thoughts out and leave yo brains on ya lap
Don't touch my Kango shorty, what's wrong with you
I might drop my fist back and knock yo grill through

[Hook x2]

[Lil Jon x8]
Run around the motherf***in' club",Lil Jon,Rap; Hip Hop,0.0,2
50001,The Sleaze,"This here I'm going insane, mental disease
Puttin' a bar up to a place, niggas can't reach
Bout to cop so many chains, lil mr. t
Doe boy she give me brain, she needed degree
She dropped it to the floor, she did it for the cheese
Told her that I need some more, she did it with sleaze

Clique full of g's
And they go ape, don't swing through the trees
Tried, them triggers will squeeze
Did it with sleaze
And your wifey love a nigga with sleeves
Hit it and leave
I ain't stressing, when will you niggas believe
Shit is a breeze
Give me the keys

Just got the newest thang, get it with ease
Hopped up out the bed, did it with sleaze
They say I run the game, literally
I'm walking to the bank, get it with sleaze
My car is sleazy, my squad is sleazy
My job is sleazy, its way too easy
Just got the newest thang, get it with ease
Hopped up out the bed, did it with sleaze

Ain't too much hustling
Get it go straight to the bank, my nigga I can't get enough of it
Ashes all over my jeans, if this shit stank I'm puffing it
Trying to do shit just like puff did it
Dirty ass game, ain't no loving it
That nigga hates, bitches lovin' it
They say I run the game
Got fortune, fuck the fame

My garage is like a showroom, couple ounces in my brain
Damn she fine, niggas can be
Buy me all the newest things, my dick is for free
Everywhere I go, my weeds in it
My crew-necks reps jeans with it
Take no swag, mix sleaze with it
Take your ho, spend cheese with us
Everywhere I go, my weeds in it
My crew-necks reps jeans with it
Take no swag, mix sleaze with it
Taylor gang, we beast with it

Taylor gang
If you real badass, you know what I'm talking bout
Fuck the rules, we make our own
I'm my own bars
I count my own money
I fire the fuck out of you niggas if I feel like it
And I'm sleazy as hell
Feel me?",Wiz Khalifa,Rap; Hip Hop,8.2,2
101309,High Wire,"Feel so washed up today
Haven't really got much to say
Blood on the pillow on my bed
Explains the pain that's in my head

Sometimes I don't know just where to go
Sometimes I can't tell, but it's just as well
'Cos I'm walking on a high wire
High wire

Oh won't someone let me in
I'm stinking and I'm full of gin
No need to close the door so fast
I'm very fragile not built to last

Sometimes I don't know just where to go
Sometimes I can't tell, but it's just as well
'Cos I'm walking on a high wire
High wire

Have to pull it together
We're in for some stormy weather
Have to pull it together
We're in for some nasty weather

High wire, high wire
high wire, high wire
high wire, high wire

It really isn't too much fun
Sitting round waiting for the night to come
It's almost time to put on my suit of cool
I may be an idiot but indeed I am no fool

Sometimes I don't know just where to go
Sometimes I can't tell, but it's just as well
'Cos I'm walking on a high wire
",Men At Work,Rock,2.2,5
41765,Highway To Hell,"Living easy, lovin' free
Season ticket on a one-way ride
Asking nothing, leave me be
Taking everything in my stride
Don't need reason, don't need rhyme
Ain't nothing I would rather do
Going down, party time
My friends are gonna be there too

I'm on the highway to hell

No stop signs, speed limit
Nobody's gonna slow me down
Like a wheel, gonna spin it
Nobody's gonna mess me round
Hey Satan, payed my dues
Playing in a rocking band
Hey Momma, look at me
I'm on my way to the promised land

I'm on the highway to hell
(Don't stop me)

And I'm going down, all the way down
I'm on the highway to hell",Iced Earth,Heavy Metal; Rock; Hard Rock,0.0,1
57416,I'm The Baddest,"If you think you're bad then you probably never knew me
They know I been the baddest that's why they wanna get me
I've been doing things that you never will believe in
And if you think you're ready like selena come and get it

Since you got gone I've been feeling here alone
No this ain't bad cause I party on my own
never needed nobody when I wanted to have fun
and if you think I did I'mma proove you being wrong

double of my age and you still are feeling lost
Can't get what I got and I'm only twenty four
I'm not lady gaga but I live for the applause
And I don't work for bitches cause I am my own boss

It's been a long time but I'm back here to win
none of you bum bitches can't come sit with me
Now I am living what you bitches call a dream
I'm winning all this shit like I've been Della Cream

If you think you're bad then you probably never knew me
They know I been the baddest that's why they wanna get me
I've been doing things that you never will believe in
And if you think you're ready like selena come and get it

Why you calling Peta if I'm only killing rats
You should call police cause I'm murdering this track
I can watch you winning and it fits snapchat
a couple time later they already gonn' forget

Are you taking shots cause I ain't getting hurt
I don't even have a shield, it must be a water gun
keep throwing shade but I shine like the sun
If you heard the queen you know bitch you're my son

It's been a long time but I'm back here to win
none of you bum bitches can't come sit with me
Now I am living what you bitches call a dream
I'm winning all this shit like I've been Della Cream

If you think you're bad then you probably never knew me
They know I been the baddest that's why they wanna get me
I've been doing things that you never will believe in
And if you think you're ready like selena come and get it",Rene Fellix,Hip Hop; Rap,0.0,2
21280,Fisherpaste,"Uh. This one's dedicated to all the haters out there
Jealous of us because we're better than you
Yolandi Vi$$er, bring the sparks?

''Chorus''
Jou ma se poes in 'n fishpaste jar
Jou ma se poes in 'n fishpaste jar
Moenie kom kak praat nie my bra
Jou ma se poes in 'n fishpaste jar

''Verse 1''
Yolandi Vi$$er: He was the wrong ninja to fuck with.

Ninja:
Yo, I am the ninja in charge over here,
no fear when i scope a rhyme in your ear.
Fuck with the wrong ninja, this time what's the matter with you.
Should have known better than to fuck with a ninja with a attitude.
I wasn't mad at you, now you mad at me and jealous.
Little spunk poofy rappers like Anthony en Dennis.
Let me help to make you famous, jissis but you rap kak.
When you rap you actually sound like you're having a fat kak. (Jaa../ Sies!)
Why you so obsessed with me? Oooh.
Jesus Christ you should see how these guys stalk me.
Follow my every move like a Sea Point moffie , FUCK YOU.
And all your ? .. Maak klaar met die spiff quote (?) from the licks
Yo, there's not a rapper out there who can touch me,
If you don't believe me run up and try to punch me

Jou ma se poes in 'n fishpaste jar
(D.D.J-J-J)
Jou ma se poes in 'n fishpaste jar
(Hi-hi-hi Tek)
Oh oh vat's it yuketa(?)
Yo-Landi Vi$$er fresh(?) and depressed(?) vat 'n picture
Jou ma se poes in 'n fishpaste jar
Do what I like cos I roll with the fucken Ninja

I am a fucken coloureds cos I am a fucken coloured if I want to be a coloured (Hosss)
My inner fucken coloured just wants to be discovered
You vokken naai skinner aan (?)
Elke vokken poes is pienk aan die binnekant.

Zed to E to the motherfucken F
(?) like a vokken zef zef zef
Fuck this poes in the skinny jeans
Yo maar jy's dandy(?) (?)
Soos the vokken kak jol by Assembly

Why do I call myself the Ninja?
Because my style is so motherfucken nasty (Is ja!)
Nothing you can so or do can harm me
Ek's kak vokken kom (?) en jy's a flou vokken laanie

Fuck with Die Antwoord you fuck with the army
My fans are my bergie.
When they bite they only go with a skraal sterfies(?)
Ask Kyle Safie(?) (Kyle's momma is a big fat biiitch)

Jou ma se poes in 'n fishpaste jar
(D.D.J-J-J)
Jou ma se poes in 'n fishpaste jar
(Hi-hi-hi Tek)
Moenie kom kak praat nie my blaar
Yo-Landi Vi$$er fresh(?) and depressed(?) vat 'n picture
Jou ma se poes in 'n fishpaste jar
Do what I like cos I roll with the fucken Ninja

Yo I'm the Ninja in charge
I can't even believe my fucken dick is so large
My groooove is doom when we launch a full frontal assault with the boom
Yo-Landi Vi$$er rub the fucken salt in the wound

My style is wild make you walk your faces(?)
It's got style coming out all sorts of places
Raak wys! Ninja flex fresh
Ek's original, fuck Sweat.X (Wie die vok is dit?)

Spoek Mathambo is a spank(?) rock lookalike rapalike siff little parasite gah!
Fuck every one of your whack tracks
Marcus Wormstorm is short and fat.

I represent the underdog you know my steez
I'm represented by a label in the overseas
Yo Amsterdam yes I am the man got the cash in hand and I'm splashing Rands
That used to be some Euros, I used to be a zero
Now I rap to the track like a super fucken hero
Superninja's coming like a bullet, leaping over buildings, waving at the children

Jou ma se poes in 'n fishpaste jar
(D.D.J-J-J)
Jou ma se poes in 'n fishpaste jar
(D.D.J-J-J Hi-hi-hi Tek)
Moenie kom kak praat nie my blaar
(D.D.J-J-J)
Jou ma se poes in 'n fishpaste jar
(Hi-hi-hi Tek)
Jou ma se poes in 'n fishpaste jar
(D.D.J-J-J)
Jou ma se poes in 'n fishpaste jar
(Hi-hi-hi Tek)
Oh oh vat's it yuketa(?)
Yo-Landi Vi$$er fresh in the place, vat 'n picture
Jou ma se poes in 'n fishpaste jar
Do what I like cos I roll with the fucken Ninja

It's plain to see you can't change me
Cos I'ma be a Ninja for life

Yo I'm a ninja he's a ninja she's a ninja we's a ninjas
Wouldn't you like to be a ninja too?

@fehmikio",Die Antwoord,Rap; Electronica; Dance,1.0,2
99857,We All Go Through,"Skeletal city highs
Crazies with dumb replies
Nobody's eyes anymore

Frown on your beggar's face
Walking this lunarscape
Nothing in my lackaday

Chorus
We'll all be right
We'll all be right
We'll all be right in the now
We all go through
We all go through
We all go through it sometimes

Somebody's space to rent
Somebody's soul to dent
Dog is in every word

Hiding the flames of power
Hiding us home by home
Nearly got out yesterday

Chorus

Trouble it travels on the wing
Doorway to door
Open your eyes
Nothing remains
A secret love between us

Nothing can hide for long
We are the morning song
Holding my breath anyway

Chorus (x2)",David Bowie,Rock,6.8,5
66726,Big Black Nothing,"Big black nothing
Fooling everyone
Big black nothing
Put a halo around what you've done
Because a big black nothing
Is coming up

Would you be my
Would you still be my friend
If I told you
It's all just pretend?
'Cause a big black nothing
Is not the end

(Ooh, ooh, ooh)

Sing (big) me (black) something (nothing)
Something I can feel
Sing (big) it (black) louder (nothing)
The whole world has to hear
Because a big black nothing
Was made to appeal

(Ooh, ooh, ooh)

Lock the doors
Hide the keys
Flipping channels
Through the streets
All this news
Just makes me scared of you and you and you

Board up the windows
Unplug the phone
Make it look like
Nobody's home
I was scared
But so prepared for the worst, yeah for the worst

Big black nothing
Fooling everyone
Big black nothing
Put a halo 'round what you've done
It's just a big black nothing",Bright Eyes,Indie,0.0,3
3036,Take a Risk,"I must be stupid
Or I must be crazy, oh
Yeah, I must be useless to you
And I must be lovin' you lazy
Out my mind 'cause you're cryin'
You're sayin' I did this to you
Baby, I'm sick of this
Keep sayin' I ain't listenin'

Let it all out, tell me how you feel about me
Get it all off your chest
I get it now, you said enough to hurt me
You regret every moment you're in my presence
Day by day, step by step
Said I won't change to make it better
Don't wanna fight, since you stressin'
I'm free to leave all we have here
Everything we put together
All the power, you're a coward
My dear, it don't matter

'Cause you won't take a risk with me
You won't jump off the bridge with me (No, you won't)
You don't wanna live free-fallin'
No-no-no-no-no-no
Let go of my hand
You don't wanna fly, live with me
No-no-no-no-no-no
Let go
No-no-no-no-no-no
You don't wanna fly with me

You say I'm insecure
Think I ain't ready for you
I'll give a little more to you
But what will you give me for it?
Don't you knock it 'til you try it
You know I won't hurt you, baby
Ooh, just let it loose
That's right

Let it all out, tell me how you feel about me
Get it all off your chest
Scream it out loud, lay it all out for me
You regret every moment you're in my presence
Oh, day by day, step by step
If you want me, I'll make it better
It's your life, fuck this stressin'
I'm free to leave all we have here
Everything we put together
The perfect one I searched for right here
And baby, it don't get no better

'Cause you won't take a risk with me (Ooh)
You won't jump off the bridge with me (Ooh, no, you won't)
You don't wanna live free-fallin'
No-no-no-no-no-no (Ooh)
Let go of my hand
You don't wanna fly, live with me (Ooh)
No-no-no-no-no-no (No-no)
Let go
No-no-no-no-no-no
You don't wanna fly with me

If you can't hear me
I hope you feel me
I know you see me
You see me clearly
I know I don't have the answers to all your problems
But I'm willing to try to solve 'em
Baby, all you need is a little more lovin', oh yeah
Don't run from me, all this kissin' and huggin', oh yeah
It's just you and I, please be mine
Girl, forever
I'ma give my heart, just be kind
You never know 'til you try
Go ahead, go ahead (Go ahead)
Huh, just spread 'em for me now (Me now)
I don't mean your legs
Girl, it's time to let your wings out

'Cause you won't take a risk with me (Yeah)
You won't jump off the bridge with me (No, you won't)
You don't wanna live free-fallin'
No-no-no-no-no-no (No-no)
Let go of my hand (Ooh)
You don't wanna fly, live with me
No-no-no-no-no-no (No-no-no)
Let go
No-no-no-no-no-no
You don't wanna fly with me
'Cause you won't take a risk with me
You won't jump off the bridge with me (Hey, no, you won't)
You don't wanna live free-fallin'
No-no-no-no-no-no
Let go of my hand
You don't wanna fly, live with me
No-no-no-no-no-no (No-no)
Let go
No-no-no-no-no-no
You don't wanna fly with me",Chris Brown,Rap; Hip Hop; Pop,11.8,2
16539,Bartender's Blues,"Well I'm just a bartender
And I don't like my work
But I don't mind the money at all
I've seen lots of sad faces
And lots of bad cases
Of folks with their backs to the wall

(Chorus:)
But I got four walls around me, to hold my life
To keep me from going astray
And a honky tonk angel, to hold me tight
To keep me from slipping away

Well I can light up your smokes
I can laugh at your jokes
I can watch you fall down on your knees
I can close down this bar
Oh and gas up my car
And I can pack up and mail in my keys

(Repeat chorus)

Now the smoke fills the air
Of this honky tonk bar
And I'm thinkin' bout where I'd rather be
But I burned all my bridges
And I sunk all my ships
And I'm stranded at the edge of the sea

(Repeat chorus)
",George Jones,Country; Folk,0.0,0
62068,Think,"I flew too low
I got the blue smoke
Breathe in
Break out
Elevate the cloud
The rain is coming
I did my time
I did it happily

But that's enough
Enough is enough
Count one to ten
Start again
Repeat

Think what you're doing to me
'Cause I don't wanna think
When I'm taking the heat
You're giving me a lesson
I don't want you to teach
Oh, don't you ever think?
Don't you ever think?

It's no secret
So don't keep it
Let it out
I send my very best
To anybody
The word around the watercooler
Walkin' the line
What's real or rumour
So here's to them
A life of fantasy
Hold yourself to it",Two Door Cinema Club,Indie,0.0,3
60207,Primadonna,"Primadonna girl, yeah
All I ever wanted was the world
I can't help that I need it all
The primadonna life, the rise, the fall

You say that I'm kinda difficult
But it's always someone else's fault
Got you wrapped around my finger, babe
You can count on me to misbehave

Primadonna girl,
Would you do anything for me?
Buy a big diamond ring for me?
Would you get down on your knees for me?
Pop that pretty question right now, baby

Beauty queen on a silver screen
Living life like I'm in a dream
I know I've got a big ego
I really don't know why it's such a big deal, though

And it's sad to the core, core, core
Every day's such a chore, chore, chore
When you give, I want more, more, more
I wanna be adored

Cause I'm a primadonna girl, yeah
All I ever wanted was the world
I can't help that I need it all
The primadonna life, the rise, the fall

You say that I'm kinda difficult
But it's always someone else's fault
Got you wrapped around my finger, babe
You can count on me to misbehave

Primadonna girl,
Fill the void up with celluloid
Take a picture, I'm with the boys
Get what I want cause I ask for it
Not because I'm really that deserving of it

Living life like I'm in a play
In the limelight I want to stay
I know I've got a big ego
I really don't know why it's such a big deal, though

Going up, going down, down, down
Anything for the crown, crown, crown
When the light's dimming down, down, down
I spin around

Cause I'm a primadonna girl, yeah
All I ever wanted was the world
I can't help that I need it all
The primadonna life, the rise, the fall

You say that I'm kinda difficult
But it's always someone else's fault
Got you wrapped around my finger, babe
You can count on me to misbehave

Primadonna girl,
All I ever wanted was the world
I can't help that I need it all
The primadonna life, the rise, the fall

You say that I'm kinda difficult
But it's always someone else's fault
Got you wrapped around my finger, babe
You can count on me to misbehave

Primadonna girl",MARINA,Pop; Indie,3.6,4
36863,Visions Prelude,"Cold wind, sad moonrise
Dark clouds in the sky
Storm ends the mourning time
Howling in the night

Vision of the land
After the horrid end
We build again from the start
Holy lenient heart

A treasure of the land
Torments have brought the end
We build again from the start
Holy lenient heart

Vision of the land
After the horrid end
We build again from the start
Holy lenient heart

A treasure of the land
Torments have brought the end
We build again from the start
Holy lenient heart

Visions come from the sea
Oceans bring to me
I reach the sand with a kiss
Treasures bristling from a bliss",Angra,Rock; Heavy Metal,2.6,5
12347,Problems At Home,"written by Blake Shelton, Billy Montana, & Don Ellis



Fires are burning up the forests
Down along the Amazon
There's children starving in Guatemala
They're just barely hanging on

(chorus)
And I pray they'll find the answer
That there's a way to right the wrong
And Lord while you're listening
Could I mention some troubles of my own
I got problems right here at home

A teenage boy in Mississippi
Brings his daddy's gun to school
A little girl in New York City
Buys cocaine for Mama to use

(chorus)

My wife is crying; Our baby's fighting
A battle that she may not win
The doctor's doing all that he can
God now it's all in your hands

And I pray they'll find the answer
That there's a way to right the wrong


Now I'm just one man, a grain of sand
In a troubled world I know
But I've got a problem right here at home
I've got a problem right here at home
",Blake Shelton,Country,0.9,0
